Year,Quarter,Month,Day,Sum of QuantityLost,Sum of QuantityRecovered,net loss,First TypeOfProductID_DisplayEng,First PipelineOperatorID_DisplayEng
2009,Qtr 2,May,6,305,256,49,LVP,Trans Mountain Pipeline ULC
2007,Qtr 3,July,24,234,210,24,LVP,Trans Mountain Pipeline ULC
2005,Qtr 3,July,15,210,,210,LVP,Trans Mountain Pipeline ULC
2020,Qtr 2,June,12,190,143,47,LVP,Trans Mountain Pipeline ULC
2012,Qtr 1,January,24,90,90,0,LVP,Trans Mountain Pipeline ULC
2007,Qtr 2,June,4,70,,70,LVP,Trans Mountain Pipeline ULC
1999,Qtr 2,April,1,20,,20,LVP,Trans Mountain Pipeline ULC
1995,Qtr 3,September,18,15,,15,LVP,Trans Mountain Pipeline ULC
1993,Qtr 2,June,25,10,,10,LVP,Trans Mountain Pipeline ULC
2002,Qtr 4,December,16,10,10,0,LVP,Trans Mountain Pipeline ULC
2021,Qtr 3,September,23,7,,7,LVP,Trans Mountain Pipeline ULC
1991,Qtr 4,December,3,5,,5,LVP,Trans Mountain Pipeline ULC
1997,Qtr 1,January,20,5,,5,LVP,Trans Mountain Pipeline ULC
2018,Qtr 2,May,27,5,3,2,LVP,Trans Mountain Pipeline ULC
2014,Qtr 1,January,22,3,3,0,LVP,Trans Mountain Pipeline ULC
1993,Qtr 1,January,31,2,,2,LVP,Trans Mountain Pipeline ULC
2011,Qtr 1,March,3,2,,2,LVP,Trans Mountain Pipeline ULC
2019,Qtr 4,October,18,2,2,0,LVP,Trans Mountain Pipeline ULC
1991,Qtr 2,June,24,1,,1,LVP,Trans Mountain Pipeline ULC
1991,Qtr 3,July,4,1,,1,LVP,Trans Mountain Pipeline ULC
2000,Qtr 1,January,23,1,,1,LVP,Trans Mountain Pipeline ULC
2001,Qtr 4,October,1,1,,1,LVP,Trans Mountain Pipeline ULC
2013,Qtr 2,June,12,1,,1,LVP,Trans Mountain Pipeline ULC
1999,Qtr 3,August,6,0,,0,LVP,Trans Mountain Pipeline ULC
